traffic_raw,predicted_delay_loc
0.00000000,0.34811682
0.03807179,0.34677342
0.07614359,0.34667039
0.11421537,0.34746304
0.15228717,0.34886762
0.19035897,0.35067591
0.22843075,0.35273954
0.26650256,0.35495690
0.30457434,0.35726401
0.34264612,0.35962623
0.38071793,0.36202857
0.41878971,0.36446932
0.45686150,0.36695218
0.49493331,0.36948431
0.53300512,0.37207246
0.57107687,0.37472314
0.60914868,0.37744156
0.64722049,0.38023162
0.68529224,0.38309559
0.72336406,0.38603479
0.76143587,0.38904962
0.79950762,0.39214009
0.83757943,0.39530405
0.87565124,0.39853969
0.91372299,0.40184286
0.95179480,0.40520930
0.98986661,0.40863386
1.02793837,0.41211003
1.06601024,0.41562986
1.10408199,0.41918549
1.14215374,0.42276666
1.18022561,0.42636240
1.21829736,0.42996177
1.25636911,0.43355104
1.29444098,0.43711728
1.33251274,0.44064564
1.37058449,0.44412088
1.40865636,0.44752815
1.44672811,0.45085105
1.48479998,0.45407364
